"code", "display", "parent", "url"
"forestry-commission", "Forestry Commission (Forestry Commission)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"government-actuarys-department", "Government Actuary's Department (GAD)", "CHANCELLORS_OTHER_DEPARTMENTS", null
"government-commercial-organisation", "Government Commercial Organisation", "CABINET_OFFICE", null
"government-equalities-office", "Government Equalities Office (GEO)", "CABINET_OFFICE", null
"government-internal-audit-agency", "Government Internal Audit Agency (GIAA)", "HM_TREASURY", null
"government-legal-department", "Government Legal Department (GLD)", "ATTORNEY_GENERALS_DEPARTMENTS", null
"government-property-agency", "Government Property Agency (GPA)", "CABINET_OFFICE", null
"health-and-safety-executive", "Health and Safety Executive (HSE)", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"hm-courts-and-tribunals-service", "HM Courts & Tribunals Service (HMCTS)", "MINISTRY_OF_JUSTICE", null
"hm-inspectorate-of-prisons", "HM Inspectorate of Prisons", "MINISTRY_OF_JUSTICE", null
"hm-inspectorate-of-probation", "HM Inspectorate of Probation", "MINISTRY_OF_JUSTICE", null
"land-registry", "HM Land Registry (HM Land Registry)", "HM_LAND_REGISTRY", null
"hm-prison-and-probation-service", "HM Prison and Probation Service (HMPPS)", "MINISTRY_OF_JUSTICE", null
"hm-revenue-customs", "HM Revenue & Customs (HMRC)", "HM_REVENUE_AND_CUSTOMS", "https://hmrc.sharepoint.com/sites/COM142448518/SitePages/One-Big-Thing.aspx"
"hm-treasury", "HM Treasury (HMT)", "HM_TREASURY", null
"home-office", "Home Office (Home Office)", "HOME_OFFICE", "https://ukhomeoffice.sharepoint.com/sites/prog3312/SitePages/One-Big-Thing.aspx"
"hm-passport-office", "HM Passport Office (HM Passport Office)", "HOME_OFFICE", "https://ukhomeoffice.sharepoint.com/sites/prog3312/SitePages/One-Big-Thing.aspx"
"identity-and-passport-service", "Identity and Passport Service", "HOME_OFFICE", "https://ukhomeoffice.sharepoint.com/sites/prog3312/SitePages/One-Big-Thing.aspx"
"immigration-enforcement", "Immigration Enforcement", "HOME_OFFICE", "https://ukhomeoffice.sharepoint.com/sites/prog3312/SitePages/One-Big-Thing.aspx"
"independent-agricultural-appeals-panel", "Independent Agricultural Appeals Panel (IAAP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms", "Independent Monitoring Boards (IMB)", "MINISTRY_OF_JUSTICE", null
"infrastructure-and-projects-authority", "Infrastructure and Projects Authority (IPA)", "HM_TREASURY", null
"institute-for-apprenticeships-and-technical-education", "Institute for Apprenticeships and Technical Education", "DEPARTMENT_FOR_EDUCATION", null
"intellectual-property-office", "Intellectual Property Office (IPO)", "DEPARTMENT_FOR_SCIENCE_INNOVATION_AND_TECHNOLOGY", null
"joint-nature-conservation-committee", "Joint Nature Conservation Committee (JNCC)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"judicial-appointments-and-conduct-ombudsman", "Judicial Appointments and Conduct Ombudsman (JACO)", "MINISTRY_OF_JUSTICE", null
"judicial-office", "Judicial Office (JO)", "MINISTRY_OF_JUSTICE", null
"lake-district-national-park-authority", "Lake District National Park Authority (LDNP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"law-commission", "Law Commission", "MINISTRY_OF_JUSTICE", null
"legal-aid-agency", "Legal Aid Agency (LAA)", "MINISTRY_OF_JUSTICE", null
"located", "LocatED", "DEPARTMENT_FOR_EDUCATION", null
"marine-management-organisation", "Marine Management Organisation (MMO)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"maritime-and-coastguard-agency", "Maritime and Coastguard Agency (MCA)", "DEPARTMENT_FOR_TRANSPORT", null
"medicines-and-healthcare-products-regulatory-agency", "Medicines and Healthcare products Regulatory Agency (MHRA)", "DEPARTMENT_OF_HEALTH_AND_SOCIAL_CARE", null
"met-office", "Met Office", "DEPARTMENT_FOR_SCIENCE_INNOVATION_AND_TECHNOLOGY", null
"ministry-of-defence-civilian", "Ministry of Defence (MOD) - Civilian Staff", "MINISTRY_OF_DEFENCE", null
"ministry-of-defence-military", "Ministry of Defence (MOD) - Military Staff", "MINISTRY_OF_DEFENCE", null
"ministry-of-justice", "Ministry of Justice (MOJ)", "MINISTRY_OF_JUSTICE", null
"single-financial-guidance-body", "Money and Pensions Service (MaPS)", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"national-crime-agency", "National Crime Agency (NCA)", "NATIONAL_CRIME_AGENCY", null
"national-forest-company", "National Forest Company (NFC)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"national-infrastructure-commission", "National Infrastructure Commission", "HM_TREASURY", null
"natural-england", "Natural England (Natural England)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"new-forest-national-park-authority", "New Forest National Park Authority (NFNPA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"north-york-moors-national-park", "North York Moors National Park Authority (NYMNP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"northern-ireland-executive", "Northern Ireland Executive ", "NORTHERN_IRELAND_EXECUTIVE", null
"northern-ireland-office", "Northern Ireland Office (NIO)", "NORTHERN_IRELAND_OFFICE", null
"northumberland-national-park-authority", "Northumberland National Park Authority", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"ns-i", "NS&I (NS&I)", "CHANCELLORS_OTHER_DEPARTMENTS", null
"oak-national-academy", "Oak National Academy", "DEPARTMENT_FOR_EDUCATION", null
"office-for-environmental-protection", "Office for Environmental Protection (OEP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"office-for-national-statistics", "Office for National Statistics (ONS)", "UK_STATISTICS_AUTHORITY", null
"ofsted", "Office for Standards in Education, Children's Services and Skills (Ofsted)", "OFSTED", null
"office-for-students", "Office for Students (OfS)", "DEPARTMENT_FOR_EDUCATION", null
"ofgem", "Office of Gas and Electricity Markets (Ofgem)", "OFGEM", null
"ofqual", "Office of Qualifications and Examinations Regulation (Ofqual)", "OFQUAL", null
"office-of-rail-and-road", "Office of Rail and Road (ORR)", "OFFICE_OF_RAIL_AND_ROAD", null
"office-of-the-advocate-general-for-scotland", "Office of the Advocate General for Scotland (OAG)", "OFFICE_OF_THE_SECRETARY_OF_STATE_FOR_SCOTLAND", null
"office-of-the-children-s-commissioner", "Office of the Children's Commissioner", "DEPARTMENT_FOR_EDUCATION", null
"the-office-of-the-leader-of-the-house-of-commons", "Office of the Leader of the House of Commons (OLHC)", "CABINET_OFFICE", null
"office-of-the-leader-of-the-house-of-lords", "Office of the Leader of the House of Lords (OLHL)", "CABINET_OFFICE", null
"office-of-the-public-guardian", "Office of the Public Guardian (OPG)", "MINISTRY_OF_JUSTICE", null
"office-of-the-secretary-of-state-for-scotland", "Office of the Secretary of State for Scotland", "OFFICE_OF_THE_SECRETARY_OF_STATE_FOR_SCOTLAND", null
"office-of-the-secretary-of-state-for-wales", "Office of the Secretary of State for Wales (UK Government in Wales)", "OFFICE_OF_THE_SECRETARY_OF_STATE_FOR_WALES", null
"official-solicitor-and-public-trustee", "Official Solicitor and Public Trustee (OSPT)", "MINISTRY_OF_JUSTICE", null
"peak-district-national-park", "Peak District National Park Authority (PDNP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"planning-inspectorate", "Planning Inspectorate (The Planning Inspectorate)", "DEPARTMENT_FOR_LEVELLING_UP_HOUSING_AND_COMMUNITIES", null
"plant-varieties-and-seeds-tribunal", "Plant Varieties and Seeds Tribunal (PVST)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"prime-ministers-office-10-downing-street", "Prime Minister's Office, 10 Downing Street (Number 10)", "CABINET_OFFICE", null
"prisons-and-probation-ombudsman", "Prisons and Probation Ombudsman (PPO)", "MINISTRY_OF_JUSTICE", null
"queen-elizabeth-ii-conference-centre", "Queen Elizabeth II Conference Centre (QEIICC)", "DEPARTMENT_FOR_LEVELLING_UP_HOUSING_AND_COMMUNITIES", null
"royal-fleet-auxiliary", "Royal Fleet Auxiliary", "MINISTRY_OF_DEFENCE", null
"rural-payments-agency", "Rural Payments Agency (RPA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"the-scottish-government", "The Scottish Government (The Scottish Government)", "SCOTTISH_GOVERNMENT", null
"seafish", "Seafish (Seafish)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"the-sentencing-council-for-england-and-wales", "Sentencing Council for England and Wales (SC)", "MINISTRY_OF_JUSTICE", null
"serious-fraud-office", "Serious Fraud Office (SFO)", "ATTORNEY_GENERALS_DEPARTMENTS", null
"social-work-england", "Social Work England", "DEPARTMENT_FOR_EDUCATION", null
"south-downs-national-park-authority", "South Downs National Park Authority (SDNP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"standards-and-testing-agency", "Standards and Testing Agency (STA)", "DEPARTMENT_FOR_EDUCATION", null
"student-loans-company", "Student Loans Company (SLC)", "DEPARTMENT_FOR_EDUCATION", null
"submarine-delivery-agency", "Submarine Delivery Agency (SDA)", "MINISTRY_OF_DEFENCE", null
"supreme-court-of-the-united-kingdom", "Supreme Court of the United Kingdom (SCUK)", "SUPREME_COURT_OF_THE_UNITED_KINGDOM", null
"teaching-regulation-agency", "Teaching Regulation Agency (TRA)", "DEPARTMENT_FOR_EDUCATION", null
"insolvency-service", "The Insolvency Service", "DEPARTMENT_FOR_BUSINESS_AND_TRADE", null
"the-national-archives", "The National Archives", "THE_NATIONAL_ARCHIVES", null
"the-water-services-regulation-authority", "The Water Services Regulation Authority (Ofwat)", "WATER_SERVICES_REGULATION_AUTHORITY", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"uk-debt-management-office", "UK Debt Management Office (DMO)", "HM_TREASURY", null
"uk-export-finance", "UK Export Finance (UKEF)", "UK_EXPORT_FINANCE", null
"uk-health-security-agency", "UK Health Security Agency (UKHSA)", "DEPARTMENT_OF_HEALTH_AND_SOCIAL_CARE", null
"uk-hydrographic-office", "UK Hydrographic Office (UKHO)", "MINISTRY_OF_DEFENCE", null
"uk-space-agency", "UK Space Agency", "DEPARTMENT_FOR_SCIENCE_INNOVATION_AND_TECHNOLOGY", null
"uk-statistics-authority", "UK Statistics Authority (Statistics)", "UK_STATISTICS_AUTHORITY", null
"valuation-office-agency", "Valuation Office Agency (VOA)", "HM_REVENUE_AND_CUSTOMS", null
"vehicle-certification-agency", "Vehicle Certification Agency (VCA)", "DEPARTMENT_FOR_TRANSPORT", null
"veterinary-medicines-directorate", "Veterinary Medicines Directorate (VMD)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"veterinary-products-committee", "Veterinary Products Committee (VPC)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"victims-commissioner", "Victims' Commissioner", "MINISTRY_OF_JUSTICE", null
"welsh-government", "Welsh Government", "WELSH_GOVERNMENT", null
"welsh-revenue-authority", "Welsh Revenue Authority", "WELSH_GOVERNMENT", null
"wilton-park", "Wilton Park (Wilton Park)", "FOREIGN_COMMONWEALTH_AND_DEVELOPMENT_OFFICE", null
"yorkshire-dales-national-park-authority", "Yorkshire Dales National Park Authority (YDNP)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"other", "Other", "OTHER", null
"other-civil-servant", "Other - Civil Servant", "OTHER", null
"other-public-servant", "Other - Public Servant", "OTHER", null
